🚀 Starting CPU Harmony...
📊 Monitoring CPU with 80% threshold
🔄 Press Ctrl+C to stop
🔄 CPU monitoring started...
📊 System CPU: 62.8% (threshold: 80%)
📊 System CPU: 39.0% (threshold: 80%)
📊 System CPU: 79.7% (threshold: 80%)
📊 System CPU: 45.9% (threshold: 80%)
📊 System CPU: 67.6% (threshold: 80%)
📊 System CPU: 52.1% (threshold: 80%)
📊 System CPU: 23.4% (threshold: 80%)
📊 System CPU: 37.7% (threshold: 80%)
📊 System CPU: 36.1% (threshold: 80%)
📊 System CPU: 21.1% (threshold: 80%)
📊 System CPU: 55.8% (threshold: 80%)
📊 System CPU: 42.7% (threshold: 80%)
📊 System CPU: 37.8% (threshold: 80%)
📊 System CPU: 44.0% (threshold: 80%)
📊 System CPU: 39.2% (threshold: 80%)
📊 System CPU: 34.4% (threshold: 80%)
📊 System CPU: 34.2% (threshold: 80%)
📊 System CPU: 34.7% (threshold: 80%)
📊 System CPU: 51.9% (threshold: 80%)
📊 System CPU: 32.5% (threshold: 80%)
📊 System CPU: 34.5% (threshold: 80%)
📊 System CPU: 41.0% (threshold: 80%)
📊 System CPU: 33.9% (threshold: 80%)
📊 System CPU: 43.4% (threshold: 80%)
📊 System CPU: 51.5% (threshold: 80%)
📊 System CPU: 38.9% (threshold: 80%)
📊 System CPU: 61.1% (threshold: 80%)
📊 System CPU: 75.8% (threshold: 80%)
📊 System CPU: 46.6% (threshold: 80%)
📊 System CPU: 36.4% (threshold: 80%)
📊 System CPU: 45.8% (threshold: 80%)
📊 System CPU: 43.1% (threshold: 80%)
📊 System CPU: 45.9% (threshold: 80%)
📊 System CPU: 40.4% (threshold: 80%)
📊 System CPU: 38.7% (threshold: 80%)
📊 System CPU: 43.8% (threshold: 80%)
📊 System CPU: 44.8% (threshold: 80%)
📊 System CPU: 47.6% (threshold: 80%)
📊 System CPU: 42.6% (threshold: 80%)
📊 System CPU: 61.0% (threshold: 80%)
📊 System CPU: 48.6% (threshold: 80%)
📊 System CPU: 51.6% (threshold: 80%)
📊 System CPU: 64.1% (threshold: 80%)
📊 System CPU: 58.6% (threshold: 80%)
📊 System CPU: 76.8% (threshold: 80%)
📊 System CPU: 59.2% (threshold: 80%)
📊 System CPU: 61.2% (threshold: 80%)
📊 System CPU: 61.2% (threshold: 80%)
📊 System CPU: 59.6% (threshold: 80%)
📊 System CPU: 39.8% (threshold: 80%)
📊 System CPU: 49.4% (threshold: 80%)
📊 System CPU: 75.0% (threshold: 80%)
📊 System CPU: 53.5% (threshold: 80%)
📊 System CPU: 51.2% (threshold: 80%)
📊 System CPU: 61.0% (threshold: 80%)
📊 System CPU: 24.3% (threshold: 80%)
